iter	MultiClass
264	0.3357262325
265	0.334894795
266	0.3340398978
267	0.3332669044
268	0.332424897
269	0.3317125219
270	0.3309768954
271	0.3300568148
272	0.3293181099
273	0.3284115635
274	0.3275773274
275	0.3265859501
276	0.325516201
277	0.3246571776
278	0.3238559576
279	0.3227646368
280	0.3218781844
281	0.3211671754
282	0.3201757778
283	0.3193624559
284	0.318589036
285	0.3175368192
286	0.3170688686
287	0.3160865329
288	0.3154558119
289	0.3146053007
290	0.3137466068
291	0.3131073827
292	0.3124791803
293	0.3115664759
294	0.310877078
295	0.3101903775
296	0.3093629244
297	0.3085951797
298	0.3077506349
299	0.3070703438
300	0.3061748027
301	0.305258061
302	0.3045507121
303	0.3038385788
304	0.3032400796
305	0.3024743612
306	0.3015394568
307	0.3008367028
308	0.3003111748
309	0.2997721433
310	0.2991791767
311	0.2985251768
312	0.2980037859
313	0.2973847559
314	0.2965973389
315	0.2958554536
316	0.2951410939
317	0.2944245624
318	0.2936820683
319	0.293001173
320	0.2924525725
321	0.2916273632
322	0.2909604712
323	0.2903744307
324	0.2896931283
325	0.2890218805
326	0.2882361355
327	0.2875549629
328	0.2866742626
329	0.2860155693
330	0.2854074433
331	0.2848698688
332	0.2843341374
333	0.2837561541
334	0.2832124572
335	0.2828179592
336	0.2821431664
337	0.2814446156
338	0.2809965937
339	0.2804660227
340	0.2800191036
341	0.2794225258
342	0.2787730995
343	0.2781776478
344	0.2776312649
345	0.276942704
346	0.276414806
347	0.2757131164
348	0.2753364892
349	0.2747501724
350	0.2742708272
351	0.2737395021
352	0.2733222922
353	0.272763756
354	0.2722685956
355	0.2718398749
356	0.2710759016
357	0.2706246307
358	0.2702616073
359	0.2695748512
360	0.2692217093
361	0.2687322796
362	0.2682713831
363	0.2676083168
364	0.2668371969
365	0.2662398842
366	0.2657402275
367	0.2652353827
368	0.2646754799
369	0.2640442885
370	0.2635016953
371	0.2630663518
372	0.2625608643
373	0.261992601
374	0.2616723116
375	0.2612191518
376	0.26057211
377	0.2600399038
378	0.2594680082
379	0.2591523467
380	0.2586475533
381	0.2581313892
382	0.2576909167
383	0.2571675308
384	0.2567857563
385	0.2563426717
386	0.2557500846
387	0.2552078226
388	0.2544401427
389	0.2539483613
390	0.2536496269
391	0.2530935447
392	0.2527973963
393	0.2523809338
394	0.2520531858
395	0.2515948667
396	0.2510429509
397	0.2506548963
398	0.2500195252
399	0.2497371347
400	0.2493977516
401	0.2491400738
402	0.2487284849
403	0.2484010161
404	0.2478880044
405	0.2474973885
406	0.2471141753
407	0.2467971884
408	0.2465407234
409	0.2461344533
410	0.2457998571
411	0.2452115309
412	0.2445899366
413	0.2442718668
414	0.2438604207
415	0.2432715449
416	0.2429258978
417	0.2425909206
418	0.2422705691
419	0.2418625213
420	0.2416547216
421	0.241293481
422	0.2410100648
423	0.2406756314
424	0.2401474042
425	0.2396928879
426	0.2391544548
427	0.2388161654
428	0.2383201655
429	0.2378404845
430	0.2375308816
431	0.2372077386
432	0.2367195305
433	0.2363481615
434	0.2360087305
435	0.2357270754
436	0.2353575344
437	0.2351122562
438	0.2347721213
439	0.234402881
440	0.234216808
441	0.2337194847
442	0.2333054881
443	0.232944103
444	0.2327568991
445	0.2323960605
446	0.2320357081
447	0.2316339757
448	0.2312379714
449	0.2309249038
450	0.2305493012
451	0.2300823143
452	0.2295062081
453	0.229195138
454	0.2288334846
455	0.2284213165
456	0.2280614879
457	0.2276492418
458	0.2273001743
459	0.2270409623
460	0.2268212957
461	0.2264053064
462	0.2261025221
463	0.2257649257
464	0.2255159194
465	0.2252928625
466	0.2250697647
467	0.224740124
468	0.2242705249
469	0.2239149051
470	0.2236351941
471	0.2233875187
472	0.2228446006
473	0.2225372176
474	0.2222568631
475	0.2220238369
476	0.2216967553
477	0.2213782451
478	0.2210984862
479	0.220775975
480	0.2206148171
481	0.2204428519
482	0.2201454521
483	0.2198842362
484	0.2195581048
485	0.2192622744
486	0.2191229302
487	0.2188344767
488	0.2185581453
489	0.2181982548
490	0.2177494952
491	0.2174912979
492	0.2172218886
493	0.2170129105
494	0.2168023065
495	0.2165483396
496	0.2163549631
497	0.2160782414
498	0.2157920819
499	0.2156493423
500	0.2153887481
501	0.2150679627
502	0.2148788642
503	0.2145969207
504	0.214275258
505	0.2139572356
506	0.2137018477
507	0.2134543301
508	0.2130835363
509	0.2128234249
510	0.2126344837
511	0.2124435203
512	0.212263709
513	0.212000463
514	0.2117563086
515	0.2113923992
516	0.2112255974
517	0.2109817241
518	0.2106595211
519	0.2103376755
520	0.2101285549
521	0.209678492
522	0.2094350196
523	0.2091034751
524	0.2087660327
525	0.2084597382
526	0.2080427737
527	0.2077647559
528	0.207528716
529	0.2072585926
530	0.207003801
531	0.2067214111
532	0.2065315638
533	0.2062061586
534	0.2057629651
535	0.2054229368
536	0.2050113237
537	0.2046570866
538	0.2043571973
539	0.2040172811
540	0.2037619275
541	0.2035828249
542	0.2034222849
543	0.2031624403
544	0.2028485148
545	0.2023924746
546	0.2022302964
547	0.2020567906
548	0.2018321968
549	0.2016182457
550	0.2014420776
551	0.2012473394
552	0.2009151284
553	0.2006909636
554	0.2004184022
555	0.2001769106
556	0.199883231
557	0.1997577861
558	0.1995151058
559	0.199276624
560	0.1991376564
561	0.1989874711
562	0.1988482033
563	0.1985972252
564	0.1983509421
565	0.1981063344
566	0.1978131634
567	0.197596656
568	0.1973784182
569	0.1971691495
570	0.1970129963
571	0.1967433959
572	0.1965757193
573	0.1963115844
574	0.1961006059
575	0.1959870332
576	0.195643882
577	0.1955041954
578	0.1953250723
579	0.195157183
580	0.1949301577
581	0.1946944145
582	0.1944816382
583	0.1943047964
584	0.194151246
585	0.1939719441
586	0.1936540994
587	0.1931600646
588	0.1928184229
589	0.192645848
590	0.1924923102
591	0.1923236998
592	0.1919301201
593	0.1916290574
594	0.1913193456
595	0.191088068
596	0.1909230853
597	0.190764721
598	0.1905896285
599	0.1902762009
600	0.1900447914
601	0.189850951
602	0.1896728175
603	0.1894494739
604	0.1892428744
605	0.1890173111
606	0.1887988062
607	0.1885889773
608	0.1884021102
609	0.1882285585
610	0.1880878072
611	0.1877603622
612	0.18746285
613	0.1872698525
614	0.1870726788
615	0.1869752339
616	0.1867557951
617	0.1865296712
618	0.1863807676
619	0.1862225473
620	0.1860440894
621	0.1859431122
622	0.1856160695
623	0.1854589011
624	0.1853127434
625	0.1851620859
626	0.1850163321
627	0.1848732529
628	0.1846075848
629	0.1845102046
630	0.1843416021
631	0.1842906913
632	0.1842015898
633	0.1840431302
634	0.1838285647
635	0.1837278242
636	0.1833498831
637	0.1832093022
638	0.1828282133
639	0.182662529
640	0.1824951159
641	0.1823110259
642	0.1821741756
643	0.1820637501
644	0.1820038697
645	0.1817829176
646	0.1816785128
647	0.1815318986
648	0.1814001461
649	0.181225127
650	0.181111012
651	0.1809975791
652	0.1808889477
653	0.1807733507
654	0.1806554616
655	0.1805070708
656	0.1802913855
657	0.180197717
658	0.1800816885
659	0.1799130777
660	0.1797807528
661	0.179667817
662	0.1795045768
663	0.1792887199
664	0.1791660322
665	0.1788475323
666	0.1787080666
667	0.1784502979
668	0.1782112878
669	0.1780208624
670	0.1778532313
671	0.1776540352
672	0.1775277058
673	0.1771523636
674	0.1769331175
675	0.1766750909
676	0.1765160472
677	0.1763193266
678	0.1760741958
679	0.1759525351
680	0.1758294578
681	0.1757172909
682	0.1755620136
683	0.1754033648
684	0.1753087567
685	0.1751716338
686	0.174968164
687	0.1748764122
688	0.1747568587
689	0.1746466614
690	0.1743894477
691	0.1742823601
692	0.1740943164
693	0.1739555699
694	0.1738311057
695	0.1736596795
696	0.1735171335
697	0.1733492541
698	0.1731911759
699	0.1730433753
700	0.1729370774
701	0.1727108997
702	0.1726188633
703	0.1723937329
704	0.1721676479
705	0.1718947709
706	0.1717914382
707	0.1716775658
708	0.1715054892
709	0.1713874965
710	0.1712824231
711	0.1711317467
712	0.1709841382
713	0.1707931455
714	0.1706221167
715	0.1703909386
716	0.1703016687
717	0.1702222528
718	0.1701031564
719	0.1699398524
720	0.1697502725
721	0.1696512597
722	0.1695285672
723	0.1693226541
724	0.169230188
725	0.1689254977
726	0.1687313346
727	0.1686385831
728	0.1684940617
729	0.1684156929
730	0.1683472289
731	0.1682123159
732	0.1679655552
733	0.1676688833
734	0.1675362289
735	0.1673990917
736	0.1673263123
737	0.1671930983
738	0.1670589825
739	0.1668031725
740	0.1665838355
741	0.1664931385
742	0.1663980392
743	0.1663033521
744	0.1660639548
745	0.1659327908
746	0.1658071349
747	0.165711583
748	0.1656243235
749	0.165461448
750	0.1653124186
751	0.16513986
752	0.164867559
753	0.164693524
754	0.1646078283
755	0.1645061829
756	0.1643447065
757	0.1642287317
758	0.1640332223
759	0.1638897882
760	0.1638073247
761	0.1636731259
762	0.1636182061
763	0.1634752523
764	0.1633647213
765	0.163287255
766	0.1631842347
767	0.1630694708
768	0.1629647435
769	0.1628072047
770	0.1626495665
771	0.1625387534
772	0.1623292751
773	0.1621043331
774	0.1620373191
775	0.161908127
776	0.161623832
777	0.1614850324
778	0.1614176959
779	0.1613375002
780	0.1612471077
781	0.1611186872
782	0.1608945997
783	0.1608072892
784	0.1607195565
785	0.1605894067
786	0.1605066394
787	0.1604206067
788	0.1602407163
789	0.1600573854
790	0.1599566391
791	0.1598015159
792	0.159705866
793	0.1596036024
794	0.1594541443
795	0.1593167331
796	0.1591880073
797	0.1590636493
798	0.1589335749
799	0.1588025234
800	0.1586063524
801	0.1584539517
802	0.1583425142
803	0.1582564471
804	0.1579534075
805	0.1578311436
806	0.157669142
807	0.1575668848
808	0.1574266935
809	0.1573241614
810	0.1571792766
811	0.1570833733
812	0.1569510111
813	0.156840073
814	0.1566689456
815	0.1565607833
816	0.1564407556
817	0.1561559874
818	0.1560378477
819	0.1559049246
820	0.1558000329
821	0.1556914679
822	0.1556219406
823	0.155573997
824	0.1554818922
825	0.1554336119
826	0.1553310489
827	0.1551933148
828	0.1551305947
829	0.1549954631
830	0.1549526857
831	0.1548621251
832	0.154761927
833	0.1546873244
834	0.1545934483
835	0.1545100046
836	0.1543842695
837	0.1543209131
838	0.1542273121
839	0.1541282677
840	0.1540399203
841	0.1539284975
842	0.1538377422
843	0.1536922117
844	0.153563652
845	0.1534753004
846	0.1534011471
847	0.1532873813
848	0.1531507516
849	0.1529124523
850	0.1528144947
851	0.1527459419
852	0.1526641579
853	0.1525340229
854	0.1524240895
855	0.1523275457
856	0.1522546072
857	0.1521776067
858	0.1520266995
859	0.1519264284
860	0.1518011748
861	0.1516969159
862	0.1516043178
863	0.1514233177
864	0.1513314007
865	0.1511419592
866	0.1510716236
867	0.1510263439
868	0.1509154201
869	0.1508469655
870	0.1507616598
871	0.1506184828
872	0.150428981
873	0.1502108434
874	0.1501090528
875	0.1500329592
876	0.149903442
877	0.1497615493
878	0.1495955424
879	0.1495234173
880	0.149378652
881	0.1492083375
882	0.1491385656
883	0.1489990613
884	0.148908142
885	0.1486959458
886	0.1486353118
887	0.1485456633
888	0.1484649349
889	0.1483941782
890	0.1482424069
891	0.1481343296
892	0.1480157181
893	0.1479156361
894	0.1478372546
895	0.1477608402
896	0.1475762565
897	0.147438829
898	0.1473621606
899	0.1472878519
900	0.1472162923
901	0.1471250188
902	0.147037221
903	0.1468860406
904	0.1467296192
905	0.1466180601
906	0.1465432545
907	0.1463673638
908	0.1462251084
909	0.1461399392
910	0.146034827
911	0.1459366176
912	0.1458768057
913	0.1458069496
914	0.1457309085
915	0.1456534748
916	0.1455790381
917	0.1454706017
918	0.1453830048
919	0.1452887191
920	0.1452204463
921	0.1451424586
922	0.1449411868
923	0.1448730013
924	0.1447176729
925	0.1446180142
926	0.1445096928
927	0.1443128327
928	0.1442661606
929	0.1441713604
930	0.1440026371
931	0.1438100849
932	0.143685096
933	0.1436318189
934	0.1435382812
935	0.1433811451
936	0.1432915196
937	0.1432232712
938	0.143129107
939	0.1430450882
940	0.1430033167
941	0.1429164898
942	0.142795212
943	0.1427027378
944	0.1425890794
945	0.1425223029
946	0.1423758148
947	0.1423047768
948	0.1422050545
949	0.1420607541
950	0.1419838374
951	0.1419427489
952	0.1418104098
953	0.1417188207
954	0.1416270557
955	0.141554968
956	0.141414294
957	0.1413804416
958	0.141331193
959	0.1412197181
960	0.1411281961
961	0.1410738273
962	0.1410012541
963	0.1408801216
964	0.1407982889
965	0.1407364907
966	0.1406645216
967	0.1406246467
968	0.1405218673
969	0.1404514739
970	0.1403969666
971	0.1402822399
972	0.1402246928
973	0.1401652305
974	0.140101919
975	0.140002489
976	0.1399304479
977	0.1398543479
978	0.1397717814
979	0.1396985508
980	0.1396555308
981	0.1395860898
982	0.1395287113
983	0.1394513167
984	0.139295915
985	0.1392288829
986	0.139173359
987	0.139018673
988	0.13898032
989	0.1389168532
990	0.1388592627
991	0.1387977519
992	0.1386655999
993	0.1386001731
994	0.1385006455
995	0.1383953266
996	0.1382474871
997	0.1381695213
998	0.1381108028
999	0.1380402967
