iter	RMSE
0	0.3930315044
1	0.3715278181
2	0.349886818
3	0.3287849776
4	0.3113734188
5	0.2962052457
6	0.2824211662
7	0.2694247493
8	0.2591584294
9	0.249724409
10	0.2412819074
11	0.2321722557
12	0.2227602584
13	0.214498083
14	0.207033789
15	0.2007491411
16	0.1945906949
17	0.1884564388
18	0.1835693998
19	0.1800305843
20	0.1759063346
21	0.1718387711
22	0.1683543733
23	0.1645229543
24	0.161548353
25	0.158814794
26	0.1564025042
27	0.1541958503
28	0.1517934338
29	0.1496901106
30	0.1480336829
31	0.1463383474
32	0.1442846027
33	0.1424932211
34	0.1408505313
35	0.1394471059
36	0.1386360008
37	0.1374531509
38	0.1361544397
39	0.1346051214
40	0.1335145896
41	0.1324034209
42	0.1314844732
43	0.131183001
44	0.1299563929
45	0.1288909463
46	0.1278914187
47	0.1267377326
48	0.1259714265
49	0.1250160759
50	0.1243067002
51	0.1233380811
52	0.1228413145
53	0.1224106822
54	0.1216343813
55	0.1208314497
56	0.1204814066
57	0.1195902264
58	0.1188413649
59	0.1177691538
60	0.1170168512
61	0.1166995356
62	0.1160093448
63	0.115446762
64	0.1145905464
65	0.1140026812
66	0.1137549127
67	0.1131438942
68	0.1123828922
69	0.1114530991
70	0.1111457273
71	0.1104397177
72	0.1095984122
73	0.1089347576
74	0.1082355265
75	0.1077271729
76	0.1069842364
77	0.1067779419
78	0.1060072283
79	0.1058537892
80	0.1053123341
81	0.1047347125
82	0.1045358833
83	0.1039260725
84	0.1034157272
85	0.1028718366
86	0.1022835984
87	0.1016294821
88	0.1014414926
89	0.1013033702
90	0.1007664429
91	0.1006396801
92	0.1001710534
93	0.099681217
94	0.09920290379
95	0.09868743038
96	0.09827774891
97	0.0978332582
98	0.09769816547
99	0.09730281494
100	0.09680218784
101	0.09665938843
102	0.09602649558
103	0.09547149655
104	0.09499275377
105	0.0944236977
106	0.09421078367
107	0.09380507303
108	0.09336638181
109	0.09295872589
110	0.09265026513
111	0.09226266486
112	0.09194335068
113	0.09166615282
114	0.09146263932
115	0.09099666927
116	0.09053126285
117	0.09040519557
118	0.09000215601
119	0.08991045209
120	0.08970328817
121	0.08938781462
122	0.08927408336
123	0.08890645787
124	0.08883425018
125	0.08874064048
126	0.0886073161
127	0.08811282693
128	0.08802749892
129	0.08790773981
130	0.08785109197
131	0.08766211227
132	0.08754520497
133	0.08726670982
134	0.08694120778
135	0.08674703999
136	0.08647643192
137	0.08598135023
138	0.08528279391
139	0.08501708686
140	0.08492590346
141	0.08480559092
142	0.08475128371
143	0.08430220966
144	0.08394436645
145	0.0836503253
146	0.08357086634
147	0.08350829388
148	0.0834064769
149	0.08298378981
150	0.08260891061
151	0.08243634202
152	0.08215624207
153	0.08172529894
154	0.08168481996
155	0.08141064966
156	0.08083451726
157	0.08073402667
158	0.08042742933
159	0.08006654223
160	0.07968768216
161	0.0795008506
162	0.07916805369
163	0.07894117801
164	0.07870650937
165	0.07841354804
166	0.07806887243
167	0.07780492808
168	0.07743435758
169	0.07690446654
170	0.07682102971
171	0.07675167379
172	0.07637326586
173	0.07616679714
174	0.07581679085
175	0.07561509388
176	0.07531777025
177	0.07514690669
178	0.07478809299
179	0.0746127792
180	0.07450183441
181	0.07420993943
182	0.07396116416
183	0.07367368333
184	0.07344499392
185	0.07308218861
186	0.07287304381
187	0.0727803211
188	0.07262583234
189	0.07256267365
190	0.07250053438
191	0.07231116004
192	0.07222864653
193	0.07193843297
194	0.07161893709
195	0.07130933508
196	0.07100391027
197	0.07093511272
198	0.07081289157
199	0.07041980208
200	0.07031720705
201	0.07007003643
202	0.06982651975
203	0.06958129955
204	0.06937771924
205	0.06909507486
206	0.0690563663
207	0.0687222768
208	0.06850240962
209	0.06841382321
210	0.06815377109
211	0.06810951991
212	0.06791731315
213	0.06775815614
214	0.06764915345
215	0.06736097765
216	0.06711323487
217	0.06688299658
218	0.06658393317
219	0.06631004562
220	0.06601963214
221	0.06591166433
222	0.06558043642
223	0.06544385904
224	0.06504534972
225	0.06475076158
226	0.0646017221
227	0.06451965122
228	0.06425250146
229	0.06398021721
230	0.06374266455
231	0.06362044266
232	0.0633637245
233	0.06332805985
234	0.06312050934
235	0.06297879228
236	0.06283581941
237	0.06261562799
238	0.06253283187
239	0.06230169664
240	0.06227396044
241	0.06206622033
242	0.06193660479
243	0.06174417338
244	0.06157248505
245	0.06137242053
246	0.06110967133
247	0.06097263534
248	0.06089118051
249	0.0607149609
250	0.06045284755
251	0.06014256734
